Name_submitted,Accepted_name,Order,Matrix_name,Major Clade,Sample_Number,Sample_ID,Sample,Leaf Side,solidity8,wl_ratio
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.4,3.02.1,3.02,abaxial,0.17625696381812367,0.055600930172150335
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.5,3.02.1,3.02,abaxial,0.25897384836052895,0.053913230253911086
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.6,3.02.1,3.02,abaxial,0.36983027946585567,0.056800832575786275
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.7,3.02.1,3.02,abaxial,0.46361286303288757,0.07355850217156566
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.8,3.02.1,3.02,abaxial,0.3929228072807076,0.06339172965218097
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.1.9,3.02.1,3.02,abaxial,0.20703465758981054,0.04668511456384489
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.1,3.02.2,3.02,adaxial,0.5920057783336936,0.25628534087058136
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.10,3.02.2,3.02,adaxial,0.31221339561440237,0.1977793327908684
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.11,3.02.2,3.02,adaxial,0.33492740512725133,0.2410251759520277
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.12,3.02.2,3.02,adaxial,0.5504027347389338,0.3345137982038875
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.13,3.02.2,3.02,adaxial,0.23405699128370677,0.17550859488319334
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.14,3.02.2,3.02,adaxial,0.3597993086636886,0.28242296523228794
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.15,3.02.2,3.02,adaxial,0.17856422799969376,0.1775471170769616
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.16,3.02.2,3.02,adaxial,0.4240404821035935,0.12372080975322253
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.17,3.02.2,3.02,adaxial,0.5567191115677631,0.2837622646435574
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.18,3.02.2,3.02,adaxial,0.4884531379623246,0.20967434623920359
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.19,3.02.2,3.02,adaxial,0.681991835960543,0.5324185395928618
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.2,3.02.2,3.02,adaxial,0.1856056497771064,0.1811151056560637
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.20,3.02.2,3.02,adaxial,0.4657156060636537,0.2379461636823838
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.21,3.02.2,3.02,adaxial,0.5826370337462151,0.38950668513388786
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.22,3.02.2,3.02,adaxial,0.41891125709001065,0.18788056026850367
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.23,3.02.2,3.02,adaxial,0.2902158679229859,0.20568950992716167
Iris_Rainbow_Grand,Iris_japonica,Asparagales,Iris_japonica,monocots,3.02.2.24,3.02.2,3.02,adaxial,0.6721717885569458,0.3572061043221315
